Date : 2023-01-07 13:51:00
Directory : c:\Users\Aurélien\Documents\dev\MathAnimation\Animations
Total : 3993 files,  916211 codes, 102660 comments, 145608 blanks, all 1164479 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Analysis\src\Unifier.cpp                                                            | C++                |      2,065 |        159 |        426 |      2,650 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\Ast.h                                                              | C++                |      1,014 |         10 |        286 |      1,310 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\Confusables.h                                                      | C++                |          6 |          1 |          3 |         10 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\DenseHash.h                                                        | C++                |        481 |         19 |        119 |        619 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\Lexer.h                                                            | C++                |        191 |          8 |         66 |        265 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\Location.h                                                         | C++                |         32 |          1 |         11 |         44 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\ParseOptions.h                                                     | C++                |         18 |          1 |          5 |         24 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\ParseResult.h                                                      | C++                |         51 |          1 |         20 |         72 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\Parser.h                                                           | C++                |        235 |         73 |        108 |        416 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\StringUtils.h                                                      | C++                |         21 |          3 |         13 |         37 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\include\Luau\TimeTrace.h                                                        | C++                |        175 |          4 |         52 |        231 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\vendor\luau\Ast\src\Ast.cpp                                                                     | C++                |        834 |          1 |        134 |        969 |
