heure;event;SM;AvAr;AvArTdTg_in_move;nb_av_ar;choc;detection_0_text;coef;;Vbatt;Iuser_int;Icharge;;dir;dir ratio;dir bloque;dir bloque_inv;dir cons;dir err;;s_bfm;s_pwd_av;s_pwd_ar;s_pwd_avar;;vit_AvAr;20cm_avar;20cm_avar_proba;20cm_dg;vit_calc;V_limitee_par_tondeuses;V_Roues_RollPitch;Vroues_dR3;vitesse_sense grp tonds;;ajust_PID;G PWM act;H PWM act;I PWM act;J PWM act;;G PWM lu;H PWM lu;I PWM lu;J PWM lu;;G Speed_obj;H Speed_obj;I Speed_obj;J Speed_obj;;G BFM;H BFM;I BFM;J BFM;sBFM;;G s;H s;I s;J s;;G Pwd;H Pwd;I Pwd;J Pwd;sigma_Pwd;sigma_Pwd ratio;sigma_Pwd A5;sigma_Pwd A10;sigma_Pwd d5;sigma_Pwd d10;P_B;P_B ratio 2;BFM_PWD_av_ar;;Pwd Av;Pwd Ar;couple_ar;;kp;ki;kd;T0 pwm;T0 pwm lu;T0 obj;T0 Sense;T0 Sense LT;T0 Sense ET;T0 Sense dET;T0 bfm;T0 v sense;;T1 pwm;T1 pwm lu;T1 obj;T1 Sense;T1 Sense LT;T1 Sense ET;T1 Sense dET;T1 bfm;T1 v sense;;T2 pwm;T2 pwm lu;T2 obj;T2 Sense;T2 Sense LT;T2 Sense ET;T2 Sense dET;T2 bfm;T2 v sense;;sigma_sense_;histo_ratio_pwd;;ch_ev_D_g_20;ch_ev_D_g_5P;ch_ev_D_g_5M;ch_ev_D_g_inv;ch_ev_I_gx_5p;ch_ev_I_gy_5p;ch_ev_I_gz_5p;ch_ev_PI_gx_5;ch_ev_PI_gy_5;ch_ev_PI_gz_5;ch_ev_PI_gv_5p;ch_ev_PI_AX_500ms;ch_ev_PI_AY_500ms;ch_ev_PI_AXY_500ms;ch_ev_PI_AX_1000ms;ch_ev_PI_AY_1000ms;ch_ev_PI_AXY_1000ms;ch_ev_PI_Av5_10XY_sPd5;ch_ev_P_PB_ratio;ch_P_i_sigma_sense;;GPS_dist_5pts;GPS_dist_10pts;GPS_dist_20pts;GPS sBFM 5;GPS sPWD 5;Patine_GPS pwd 5;Patine_GPS bfm 5;Patine_GPS bfm 10;Patine_GPS bfm 20;GPS Heading_0_;GPS dist;k_gps.cap;GPHDT_heading;heading_last_rtkpos;A_moy_rtk;erreur;time_from_last_update;heading;A_moy_mag;A_diff_rtk_mag;heading corr;heading_bb;heading two;pi;;T temp;TAx;TAy;TAz;TAx raw;TAy raw;TAz raw;TAdx;TAdy;TAdz;TAdv;TAdv s5 1;TAdv s15 5;TAx d5;TAy d5;TAz d5;TAx d10;TAy d10;TAz d10; Tseq;;TGx;TGy;TGz;TGx raw;TGy raw;TGz raw;;TKx;TKy;TKz;;TKx raw;TKy raw;TKz raw;;TKx offs;TKy offs;TKz offs;;TKx offs2;TKy offs2;TKz offs2;;T heading;Heading_20cm;T roll ;T pitch;T kest X;T kest Y;T kest Z;T rp_risk;;;1955
08:02:31.005;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-31;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;21;0;33;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;126;74;0;;150;140;50;0;0;0;2;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-22;-13;5;0;0;0;0;0;0;0;0;0;0;0;0;58;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1030;123;0;0;123;114;245;12;;35;41;2;980;7;-5;966;-1;0;0;1;1;2;0;0;0;0;0;0;165;;-4;-1;3;-10;-6;7;;-132;292;-13;;1412;-397;-1217;;1544;-689;-1204;;1415;-399;-1216;;122;0;0;2;423;15;9991;11;;
08:02:31.104;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-1;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;21;0;28;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;120;80;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-30;-7;9;0;0;0;0;0;0;0;0;0;0;0;0;60;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;114;245;12;;35;41;2;980;7;-5;966;0;0;1;1;1;2;0;0;0;0;0;-1;167;;-9;10;5;-15;5;9;;-138;297;-18;;1406;-392;-1222;;1544;-689;-1204;;1415;-399;-1216;;123;0;0;2;420;11;9991;11;;
08:02:31.204;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-66;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;22;0;24;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;111;89;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-22;15;9;0;0;0;0;0;0;0;0;0;0;0;0;55;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;114;245;12;;35;40;2;978;6;-5;964;-1;0;-1;2;1;2;-1;0;-2;-1;0;-1;169;;2;8;-4;-4;3;0;;-132;309;-19;;1412;-380;-1223;;1544;-689;-1204;;1415;-399;-1217;;122;0;0;2;414;15;9991;11;;
08:02:31.304;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-7;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;22;0;24;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;111;89;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-17;31;9;0;0;0;0;0;0;0;0;0;0;0;0;51;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;114;245;12;;35;41;2;979;7;-5;965;-1;0;1;2;2;2;0;0;-1;0;0;-2;171;;-10;-2;2;-16;-7;6;;-137;293;-12;;1407;-396;-1216;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;416;14;9991;11;;
08:02:31.404;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-60;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;22;0;29;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;118;82;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-4;13;-4;0;0;0;0;0;0;0;0;0;0;0;0;56;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;114;245;12;;35;41;2;979;7;-5;965;-1;0;-2;5;4;1;1;0;2;0;0;0;173;;7;-8;-2;1;-13;2;;-138;292;-18;;1406;-397;-1222;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;419;18;9991;11;;
08:02:31.504;0;-1;0;0;0;0;_I_gy_5p;100;;1633;99;770;;-13;-31;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;21;0;29;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;120;80;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;3;2;8;0;0;0;0;0;0;0;0;0;0;0;0;61;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;114;245;12;;35;41;2;980;7;-5;966;0;0;0;0;3;1;0;0;0;0;0;1;175;;11;10;4;5;5;8;;-138;303;-12;;1406;-386;-1216;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;417;21;9991;11;;
08:02:31.605;0;-1;0;0;0;0;_I_gy_5p;100;;1633;100;761;;-13;2;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;21;0;29;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;120;80;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;17;-2;12;0;0;0;0;0;0;0;0;0;0;0;0;55;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;115;245;12;;35;42;2;979;8;-5;965;1;0;-1;2;2;2;1;0;0;1;0;1;177;;5;-4;1;-1;-9;5;;-137;292;-12;;1407;-397;-1216;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;419;22;9991;11;;
08:02:31.706;0;-1;0;0;0;0;_I_gy_5p;100;;1633;100;761;;-13;3;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;22;0;35;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;127;73;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;10;7;12;0;0;0;0;0;0;0;0;0;0;0;0;62;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;115;245;12;;35;41;2;978;7;-5;964;-1;0;-2;5;2;2;0;0;-2;0;0;0;179;;2;-17;1;-4;-22;5;;-137;291;-18;;1407;-398;-1222;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;423;21;9991;11;;
08:02:31.806;0;-1;0;0;0;0;_I_gy_5p;100;;1633;100;761;;-13;3;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;21;0;24;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;113;87;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-7;-16;7;0;0;0;0;0;0;0;0;0;0;0;0;50;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;115;246;12;;35;40;2;980;6;-5;966;-2;0;1;5;3;2;-2;0;0;0;0;-1;181;;-7;-3;0;-13;-8;4;;-137;303;-13;;1407;-386;-1217;;1544;-689;-1204;;1415;-399;-1217;;123;0;0;2;423;18;9991;11;;
08:02:31.906;0;-1;0;0;0;0;_I_gy_5p;100;;1633;100;761;;-13;-29;0;0;0;13;;0;0;0;0;;0;0;0;0;0;0;0;150;0;;100;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;22;0;28;3;;0;0;0;0;0;1;0;0;0;0;0;1;0;;117;83;0;;150;140;50;0;0;0;1;1;0;0;0;255;;0;0;0;0;0;0;0;0;255;;0;0;0;1;1;0;0;0;255;;2;0;;0;0;0;0;-8;-21;13;0;0;0;0;0;0;0;0;0;0;0;0;55;;1;1;1;0;0;0;0;0;0;0;0;100;100;0;0;83;1004;122;0;0;122;115;246;12;;35;41;2;978;7;-5;964;-1;0;-1;2;4;2;0;0;0;0;0;-1;183;;2;-10;0;-4;-15;4;;-143;292;-12;;1401;-397;-1216;;1544;-689;-1204;;1415;-399;-1217;;124;0;0;2;422;19;9991;11;;
