"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\GlobalApi.cpp", "C++", 981, 122, 257, 1360
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\LuauLayer.cpp", "C++", 336, 20, 62, 418
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\MathAnimGlobals.cpp", "C++", 92, 0, 18, 110
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\ScriptAnalyzer.cpp", "C++", 271, 16, 54, 341
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\Paths.cpp", "C++", 41, 0, 5, 46
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\Svg.cpp", "C++", 1687, 189, 290, 2166
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\SvgCache.cpp", "C++", 259, 59, 40, 358
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\SvgParser.cpp", "C++", 1722, 72, 233, 2027
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\TexturePacker.cpp", "C++", 160, 14, 26, 200
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\utils\CMath.cpp", "C++", 733, 85, 129, 947
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\utils\TableOfContents.cpp", "C++", 127, 27, 25, 179
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\video\Encoder.cpp", "C++", 278, 10, 43, 331
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\video\NvidiaEncoder.cpp", "C++", 0, 0, 1, 1
"Total", "-", 23939, 2327, 4130, 30396
