Date : 2023-01-07 13:53:57
Directory : c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include
Total : 71 files,  4745 codes, 280 comments, 776 blanks, all 5801 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         71 |      4,745 |        280 |        776 |      5,801 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\latex\LaTexLayer.h                | C++      |         20 |          0 |         10 |         30 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\math\DataStructures.h             | C++      |        202 |          0 |         23 |        225 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\multithreading\GlobalThreadPool.h | C++      |         60 |          1 |          8 |         69 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\multithreading\Promise.hpp        | C++      |          4 |         29 |          2 |         35 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\parsers\Common.h                  | C++      |         28 |          0 |          9 |         37 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\parsers\Grammar.h                 | C++      |         88 |          3 |         23 |        114 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\parsers\SyntaxHighlighter.h       | C++      |         85 |          2 |         17 |        104 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\parsers\SyntaxTheme.h             | C++      |         33 |          0 |          7 |         40 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\platform\FileSystemWatcher.h      | C++      |         55 |          0 |         12 |         67 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\platform\Platform.h               | C++      |         24 |          0 |         15 |         39 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Colors.h                 | C++      |         23 |          0 |          3 |         26 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Fonts.h                  | C++      |         69 |         25 |         23 |        117 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Framebuffer.h            | C++      |         45 |          5 |         11 |         61 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\OrthoCamera.h            | C++      |         18 |          0 |          5 |         23 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\PerspectiveCamera.h      | C++      |         18 |          0 |          5 |         23 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Renderer.h               | C++      |         85 |         11 |         20 |        116 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Shader.h                 | C++      |         31 |          0 |          8 |         39 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\renderer\Texture.h                | C++      |         91 |          1 |         22 |        114 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\scripting\GlobalApi.h             | C++      |         48 |          6 |         11 |         65 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\scripting\LuauLayer.h             | C++      |         20 |          0 |          8 |         28 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\scripting\MathAnimGlobals.h       | C++      |         13 |          0 |          2 |         15 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\scripting\ScriptAnalyzer.h        | C++      |         26 |          0 |          6 |         32 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\shaders\default.glsl.hpp          | C++      |         52 |          0 |         10 |         62 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\shaders\screen.glsl.hpp           | C++      |         24 |          0 |          8 |         32 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\shaders\vectorShader.glsl.hpp     | C++      |         41 |         24 |         12 |         77 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\svg\Paths.h                       | C++      |         13 |          0 |          3 |         16 |
| c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\include\svg\Svg.h                         | C++      |        114 |          3 |         24 |        141 |
