"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\Gizmos.cpp", "C++", -330, -24, -42, -396
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\ImGuiExtended.cpp", "C++", -456, -15, -75, -546
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\ImGuiTimeline.cpp", "C++", -1474, -147, -240, -1861
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\MenuBar.cpp", "C++", -57, -3, -16, -76
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\ProjectScreen.cpp", "C++", -425, -28, -81, -534
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\SceneHierarchyPanel.cpp", "C++", -515, -104, -87, -706
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\SceneManagementPanel.cpp", "C++", -126, -14, -26, -166
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\editor\Timeline.cpp", "C++", -1375, -136, -190, -1701
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\latex\LaTexLayer.cpp", "C++", -290, -27, -47, -364
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\main.cpp", "C++", -19, 0, -6, -25
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\math\DataStructures.cpp", "C++", -506, 0, -101, -607
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\multithreading\GlobalThreadPool.cpp", "C++", -157, -2, -18, -177
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\parsers\Common.cpp", "C++", -63, -5, -12, -80
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\parsers\Grammar.cpp", "C++", -564, -20, -81, -665
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\parsers\SyntaxHighlighter.cpp", "C++", -231, -10, -38, -279
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\parsers\SyntaxTheme.cpp", "C++", -345, -16, -58, -419
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\platform\FileSystemWatcherWin32.cpp", "C++", -193, -5, -31, -229
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\platform\PlatformWin32.cpp", "C++", -428, -21, -61, -510
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Colors.cpp", "C++", -17, 0, -1, -18
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Fonts.cpp", "C++", -639, -58, -120, -817
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Framebuffer.cpp", "C++", -233, -21, -54, -308
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\OrthoCamera.cpp", "C++", -56, -9, -10, -75
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\PerspectiveCamera.cpp", "C++", -56, -13, -9, -78
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Renderer.cpp", "C++", -2062, -221, -444, -2727
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Shader.cpp", "C++", -244, -21, -60, -325
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\renderer\Texture.cpp", "C++", -419, -14, -62, -495
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\GlobalApi.cpp", "C++", -981, -122, -257, -1360
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\LuauLayer.cpp", "C++", -336, -20, -62, -418
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\MathAnimGlobals.cpp", "C++", -92, 0, -18, -110
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\scripting\ScriptAnalyzer.cpp", "C++", -271, -16, -54, -341
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\Paths.cpp", "C++", -41, 0, -5, -46
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\Svg.cpp", "C++", -1687, -189, -290, -2166
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\SvgCache.cpp", "C++", -259, -59, -40, -358
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\SvgParser.cpp", "C++", -1722, -72, -233, -2027
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\svg\TexturePacker.cpp", "C++", -160, -14, -26, -200
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\utils\CMath.cpp", "C++", -733, -85, -129, -947
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\utils\TableOfContents.cpp", "C++", -127, -27, -25, -179
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\video\Encoder.cpp", "C++", -278, -10, -43, -331
"c:\Users\Aurélien\Documents\dev\MathAnimation\Animations\src\video\NvidiaEncoder.cpp", "C++", 0, 0, -1, -1
"Total", "-", -19194, -2047, -3354, -24595
